departure,mode,transport,agency,number,price,title,isOptimization,tags
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,28,5917,北疆+新疆乌鲁木齐+可可托海+喀纳斯+禾木风景区+天山天池8日7晚跟团游·【金秋童话 下单立减500元/人  封顶20人 满11人升2+1陆地头等舱 】【五彩滩日落+S101秘境公路+赠观鱼台】【2大特色餐 九碗三行宴+冷水鱼】,非优选,安心游/无购物/无自费/精致小团/成团保障/峡谷峡湾/任性退/白桦林
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,359,8793,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+吐鲁番+那拉提+赛里木湖10日9晚跟团游·『双节大促丨中秋特价 至高-700/人』【封顶16人Vip小团 满8人升2+1航空座-陆地头等舱】必含导+高标4飞〖7晚5钻酒店+宿1晚禾木〗,优选,安心游/无购物/精致小团/成团保障/3期免息/6期免息/任性退
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,54,12058,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+那拉提+赛里木湖9日8晚跟团游·『双节大促丨中秋特价』【封顶16人Vip小团 满8人升2+1航空座-陆地头等舱】必含导+高标4飞〖喀拉峻+八卦城+魔鬼城 6晚5钻酒店+宿1晚禾木〗,优选,安心游/无购物/精致小团/成团保障/3期免息/任性退
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,70,11861,新疆乌鲁木齐+北疆+喀纳斯+伊犁+禾木风景区+赛里木湖+那拉提8日7晚跟团游·『双节大促丨中秋特价』【封顶16人Vip团 满8人升2+1航空座-陆地头等舱】必含导+高标3飞〖喀拉峻+八卦城+魔鬼城 5晚5钻酒店+宿1晚禾木〗,优选,安心游/无购物/精致小团/成团保障/3期免息/任性退
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,25,6808,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+赛里木湖+天山天池+五彩滩+世界魔鬼城7日6晚私家团·【携程专享 绝色三湖】升级1晚禾木景区内 赠赛里木湖环湖 喀纳斯观鱼台 全程小车 24小时VIP专业接机,优选,安心游/无购物/无自费/成团保障/任性退
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,305,5375,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+伊犁+赛里木湖+那拉提+巴音布鲁克+吐鲁番+库木塔格沙漠10日9晚跟团游·『中秋国庆双节大促』『18人小团+穿越独库』必含导+单人拼住免房差【含天山天池】<巴音+禾木各宿1晚>,优选,安心游/无购物/精致小团/成团保障/3期免息/6期免息/任性退/沙漠/草原
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,54,12047,新疆北疆+乌鲁木齐+伊犁+喀纳斯+禾木风景区+那拉提+喀拉峻草原10日9晚私家团·【多人立减31500元/单 疆内2飞 少坐车16小时】，7晚5钻+禾木景区内1晚。伊昭公路穿越，伊犁2大草原+喀纳斯深度游+赛湖大环湖,优选,安心游/无购物/无自费/成团保障/草原/任性退/赏薰衣草
北京出发,跟团游,飞机往返,新疆大桔旅行社有限公司,41,13840,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+那拉提+赛里木湖9日8晚跟团游·10.1特价【封顶16人  满8人升2+1陆地头等舱】【升级1晚希尔顿】【舒适3飞1动+禾木宿1晚+必含导】【喀纳斯+喀拉峻+环赛湖+大峡谷+五彩滩】,优选,安心游/无购物/无自费/精致小团/成团保障/任性退/峡谷峡湾
北京出发,跟团游,飞机往返,新疆雪莲花国际旅行社有限公司昌吉市分公司,101,4500,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+伊犁+赛里木湖+那拉提+巴音布鲁克+独库公路10日9晚跟团游·<9.26 B线特价>【封顶18人+豪升3晚5钻+指定1晚国际品牌5星希尔顿】可可托海直通车+草原神石城+穿越小独库G219,非优选,安心游/无购物/无自费/精致小团/成团保障/3期免息/草原/任性退/九碗三行宴/冷水鱼宴
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,4,20840,新疆北疆+伊犁+南疆+乌鲁木齐+喀什+塔什库尔干+喀纳斯+帕米尔高原+禾木风景区+独库公路12日11晚私家团·乌进喀出，省内1飞；南北疆+喀什+独库公路大环游；1晚禾木景区住宿；帕米尔高原2日深度游，塔县一晚住宿,优选,安心游/无购物/无自费/成团保障/任性退/清真寺
