date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-08-12,84.46,86.77,86.5,84.46,594238.56,2.15,2.55,86.5,86.5,86.5,594238.56,594238.56,594238.56,0.55
2019-08-13,85.95,86.25,85.01,84.77,515017.72,-1.49,-1.72,85.755,85.755,85.755,554628.14,554628.14,554628.14,0.48
2019-08-14,86.38,86.57,85.04,85.01,533363.44,0.03,0.04,85.517,85.517,85.517,547539.91,547539.91,547539.91,0.49
2019-08-15,83.8,86.34,86.31,83.53,702273.75,1.27,1.49,85.715,85.715,85.715,586223.37,586223.37,586223.37,0.65
2019-08-16,87.0,88.3,87.46,86.35,932311.56,1.15,1.33,86.064,86.064,86.064,655441.01,655441.01,655441.01,0.86
2019-08-19,88.3,88.46,88.45,87.25,837354.75,0.99,1.13,86.454,86.462,86.462,704064.24,685759.96,685759.96,0.77
2019-08-20,88.3,88.33,87.94,87.62,504393.59,-0.51,-0.58,87.04,86.673,86.673,701939.42,659850.48,659850.48,0.47
2019-08-21,87.65,88.17,87.73,87.35,335320.72,-0.21,-0.24,87.578,86.805,86.805,662330.87,619284.26,619284.26,0.31
2019-08-22,87.86,88.08,87.98,87.4,365037.38,0.25,0.28,87.912,86.936,86.936,594883.6,591034.61,591034.61,0.34
2019-08-23,87.95,90.26,89.89,87.82,885689.75,1.91,2.17,88.398,87.231,87.231,585559.24,620500.12,620500.12,0.82
2019-08-26,88.3,88.6,87.5,87.15,990268.44,-2.39,-2.66,88.208,87.331,87.255,616141.98,660103.11,654115.42,0.91
2019-08-27,88.05,88.8,87.68,87.57,767827.0,0.18,0.21,88.156,87.598,87.291,668828.66,685384.04,663591.39,0.71
2019-08-28,87.61,87.92,86.9,86.85,516092.31,-0.78,-0.89,87.99,87.784,87.261,704982.98,683656.93,652245.31,0.48
2019-08-29,87.15,87.48,86.7,86.17,464332.0,-0.2,-0.23,87.734,87.823,87.221,724841.9,659862.75,638822.93,0.43
2019-08-30,87.7,88.15,87.32,86.41,564655.12,0.62,0.71,87.22,87.809,87.227,660634.97,623097.11,633878.41,0.52
2019-09-02,87.0,88.88,88.5,86.88,635806.12,1.18,1.35,87.42,87.814,87.307,589742.51,602942.24,633998.89,0.59
2019-09-03,88.6,88.9,88.25,87.79,512751.97,-0.25,-0.28,87.534,87.845,87.362,538727.5,603778.08,626866.72,0.47
2019-09-04,87.83,88.4,88.3,87.22,605954.0,0.8,0.91,87.814,87.902,87.414,556699.84,630841.41,625704.9,0.56
2019-09-05,88.8,90.31,89.23,88.31,1007565.56,0.93,1.05,88.32,88.027,87.51,665346.55,695094.23,645802.83,0.93
2019-09-06,89.95,90.7,90.7,89.28,688752.44,1.47,1.65,88.996,88.108,87.67,690166.02,675400.5,647950.31,0.64
2019-09-09,91.37,91.53,90.4,89.98,702401.5,-0.3,-0.33,89.376,88.398,87.865,703485.09,646613.8,653358.46,0.65
2019-09-10,90.49,90.55,89.44,88.9,484548.25,-0.96,-1.06,89.614,88.574,88.086,697844.35,618285.93,651834.98,0.45
2019-09-11,89.8,90.08,89.56,88.75,455860.03,0.12,0.13,89.866,88.84,88.312,667825.56,612262.7,647959.81,0.42
2019-09-12,90.09,92.5,92.34,89.75,793048.5,2.78,3.1,90.488,89.404,88.614,624922.14,645134.35,652498.55,0.73
2019-09-16,92.3,92.33,91.35,91.12,548413.0,-0.99,-1.07,90.618,89.807,88.808,596854.26,643510.14,633303.62,0.51
2019-09-17,90.9,90.92,89.52,89.22,640333.5,-1.83,-2.0,90.442,89.909,88.862,584440.66,643962.88,623452.56,0.59
2019-09-18,89.82,90.48,90.0,89.58,419771.16,0.48,0.54,90.554,90.084,88.965,571485.24,634664.79,619221.44,0.39
2019-09-19,90.5,90.62,89.6,89.01,421580.0,-0.4,-0.44,90.562,90.214,89.058,564629.23,616227.39,623534.4,0.39
2019-09-20,89.89,90.29,89.85,89.45,456923.19,0.25,0.28,90.064,90.276,89.152,497404.17,561163.16,628128.69,0.42
2019-09-23,89.44,89.44,88.91,88.15,513667.19,-0.94,-1.05,89.576,90.097,89.103,490455.01,543654.63,609527.56,0.47
2019-09-24,89.0,89.41,88.95,88.4,405350.97,0.04,0.04,89.462,89.952,89.175,443458.5,513949.58,580281.69,0.37
2019-09-25,88.39,89.17,88.78,88.15,388584.0,-0.17,-0.19,89.218,89.886,89.23,437221.07,504353.15,561319.54,0.36
2019-09-26,89.2,89.77,88.35,88.33,486370.78,-0.43,-0.48,88.968,89.765,89.303,450179.23,507404.23,559833.46,0.45
2019-09-27,88.53,88.68,88.3,87.88,329554.12,-0.05,-0.06,88.658,89.361,89.383,424705.41,461054.79,553094.57,0.3
2019-09-30,87.94,88.19,87.04,87.01,460784.53,-1.26,-1.43,88.284,88.93,89.369,414128.88,452291.94,547901.04,0.43
2019-10-08,87.14,88.72,88.0,87.1,405313.09,0.96,1.1,88.094,88.778,89.344,414121.3,428789.9,536376.39,0.37
2019-10-09,87.44,88.6,88.18,87.33,360580.5,0.18,0.2,87.974,88.596,89.34,408520.6,422870.84,528767.82,0.33
2019-10-10,88.19,88.65,88.5,87.51,340927.31,0.32,0.36,88.004,88.486,89.35,379431.91,414805.57,515516.48,0.31
2019-10-11,88.89,90.27,89.9,88.5,600475.56,1.4,1.58,88.324,88.491,89.384,433616.2,429160.81,495161.98,0.55
2019-10-14,90.8,91.45,90.45,90.18,630443.06,0.55,0.61,89.006,88.645,89.371,467547.9,440838.39,492246.51,0.58
2019-10-15,90.8,90.8,90.2,89.94,350873.94,-0.25,-0.28,89.446,88.77,89.361,456660.07,435390.69,474670.13,0.32
2019-10-16,90.7,91.82,90.58,90.48,499077.12,0.38,0.42,89.926,88.95,89.418,484359.4,446440.0,475396.58,0.46
2019-10-17,91.2,92.17,91.72,90.6,619425.06,1.14,1.26,90.57,89.287,89.526,540058.95,459745.43,483574.83,0.57
2019-10-18,92.3,92.45,89.75,89.68,590912.88,-1.97,-2.15,90.54,89.432,89.397,538146.41,485881.31,473468.05,0.55
2019-10-21,89.47,90.45,90.07,88.93,360899.78,0.32,0.36,90.464,89.735,89.333,484237.76,475892.83,464092.39,0.33
2019-10-22,90.79,90.79,90.29,89.58,310788.66,0.22,0.24,90.482,89.964,89.371,476220.7,466440.39,447615.15,0.29
2019-10-23,90.2,90.63,89.5,89.21,318797.66,-0.79,-0.88,90.266,90.096,89.346,440164.81,462262.1,442566.47,0.29
2019-10-24,89.85,90.04,89.8,88.95,360537.44,0.3,0.34,89.882,90.226,89.356,388387.28,464223.12,439514.34,0.33
2019-10-25,88.0,88.47,88.0,87.1,1129195.38,-1.8,-2.0,89.532,90.036,89.264,496043.78,517095.1,473127.95,1.04
2019-10-28,88.39,88.87,88.64,87.87,651031.69,0.64,0.73,89.246,89.855,89.25,554070.17,519153.96,479996.18,0.6
2019-10-29,88.67,89.04,88.2,87.96,431557.69,-0.44,-0.5,88.828,89.655,89.213,578223.97,527222.34,481306.51,0.4
2019-10-30,88.0,88.37,87.95,87.67,436516.62,-0.25,-0.28,88.518,89.392,89.171,601767.76,520966.29,483703.14,0.4
2019-10-31,87.8,88.71,88.12,87.8,373687.66,0.17,0.19,88.182,89.032,89.16,604397.81,496392.55,478068.99,0.34
2019-11-01,88.12,90.06,90.04,88.01,650940.31,1.92,2.18,88.59,89.061,89.247,508746.79,502395.29,494138.3,0.6
2019-11-04,90.35,90.64,90.29,89.91,505705.66,0.25,0.28,88.92,89.083,89.409,479681.59,516875.88,496384.35,0.47
2019-11-05,90.3,91.26,90.06,89.66,654849.56,-0.23,-0.26,89.292,89.06,89.512,524339.96,551281.97,508861.18,0.6
2019-11-06,90.04,90.4,90.0,89.67,386305.41,-0.06,-0.07,89.702,89.11,89.603,514297.72,558032.74,510147.42,0.36
2019-11-07,90.0,90.1,89.77,89.28,319831.03,-0.23,-0.26,90.032,89.107,89.667,503526.39,553962.1,509092.61,0.3
2019-11-08,90.49,90.55,89.17,89.17,436274.88,-0.6,-0.67,89.858,89.224,89.63,460593.31,484670.05,500882.57,0.4
2019-11-11,88.5,88.59,88.21,87.9,442562.16,-0.96,-1.08,89.442,89.181,89.518,447964.61,463823.1,491488.53,0.41
2019-11-12,88.39,88.55,88.22,87.85,395453.62,0.01,0.01,89.074,89.183,89.419,396085.42,460212.69,493717.51,0.37
2019-11-13,87.97,88.34,88.0,87.53,380871.62,-0.22,-0.25,88.674,89.188,89.29,394998.66,454648.19,487807.24,0.35
2019-11-14,88.48,88.49,88.03,87.8,323509.97,0.03,0.03,88.326,89.179,89.106,395734.45,449630.42,473011.48,0.3
2019-11-15,87.81,88.25,87.9,87.7,364026.88,-0.13,-0.15,88.072,88.965,89.013,381284.85,420939.08,461667.18,0.34
2019-11-18,87.88,88.98,88.71,87.68,344810.62,0.81,0.92,88.172,88.807,88.945,361734.54,404849.58,460862.73,0.32
2019-11-19,88.3,89.1,88.89,88.22,302021.25,0.18,0.2,88.306,88.69,88.875,343048.07,369566.74,460424.36,0.28
2019-11-20,88.58,88.8,88.05,87.93,332290.91,-0.84,-0.94,88.316,88.495,88.803,333331.93,364165.29,461099.02,0.31
