彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 / 乔西·查尔斯 / 盖尔·汉森 / 迪伦·库斯曼 / 阿勒隆·鲁杰罗 / 詹姆斯·沃特斯顿 / 诺曼·劳埃德 / 柯特伍德·史密斯 / 卡拉·贝尔韦尔 / 利昂·波纳尔 / 乔治·马丁 / 乔·奥菲耶里 / 马特·凯里 / 凯文·库尼 / 拉腊·弗林·鲍尔 / 亚历桑德拉·鲍尔斯 / 梅洛拉·沃尔特斯 / 帕梅拉·伯勒尔 / 约翰·库宁汉姆 / 迪布拉·穆尼 / 库尔特·莱特纳 / 凯瑟·斯内德 / 霍纳斯·斯蒂克洛瑞斯 / 杰米·肯尼迪,['剧情'], 美国, 英语 / 拉丁语,1989-06-02(多伦多首映),128 分钟,9.1,515547,"['成长', '教育', '青春', '励志', '美国', '经典', '死亡诗社', 'RobinWilliams']"
罗杰·阿勒斯 / 罗伯·明可夫,艾琳·梅琪 / 乔纳森·罗伯特  / 琳达·伍尔芙顿,乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 内森·连恩 / 尼基塔·卡兰姆 / 厄尼·萨贝拉 / 乌比·戈德堡 / 罗温·艾金森,"['动画', '歌舞', '冒险']", 美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,1995-07-15(中国大陆),89 分钟,9.0,600876,"['动画', '迪斯尼', '经典', '美国', '童年', '成长', '励志', '亲情']"
万籁鸣 / 唐澄,李克弱 / 万籁鸣,邱岳峰 / 富润生 / 毕克 / 尚华 / 于鼎 / 李梓 / 刘广宁,"['动画', '奇幻']", 中国大陆, 汉语普通话,1961(中国大陆),114分钟,9.3,291089,"['经典', '国产动画', '动画', '童年', '大闹天宫', '中国动画', '中国', '童年回忆']"
彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 斯蒂芬·辛克莱 / 彼得·杰克逊 / J·R·R·托尔金,伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉 / 奥兰多·布鲁姆 / 维果·莫腾森 / 伊恩·麦克莱恩 / 凯特·布兰切特 / 比利·博伊德 / 杰德·布罗菲 / 丽芙·泰勒 / 安迪·瑟金斯 / 米兰达·奥图 / 雨果·维文 / 布拉德·道里夫 / 卡卢姆·吉廷斯 / 伯纳德·希尔 / 布鲁斯·霍普金斯 / 克里斯托弗·李 / 纳撒尼尔·利斯 / 罗宾·马尔科姆 / 约翰·贝西 / 萨拉·贝克 / 克雷格·帕克 / 布鲁斯·菲利普斯 / Robert Pollock / 约翰·瑞斯-戴维斯 / 奥利维亚·田內 / 卡尔·厄本 / 史蒂芬·乌瑞 / 大卫·文翰 / 菲利普·格里夫 / 肖恩·宾 / 约翰·诺贝尔 / Jarl Benzon / Jørn Benzon / Ben Britton / 阿利斯泰尔·布朗宁 / Sean Button / Robert Catto / 罗德尼·库克 / 卡尔洛斯德林克沃特 / 西奥沙福瓦 / 本·弗兰舍姆 / Jonathan Harding / Lucas Hayward / 丹·汉纳 / Paul Holmes / 杰森霍德 / 彼得·杰克逊 / Sam Kelly / Sandro Kopp,"['剧情', '动作', '奇幻', '冒险']", 美国 / 新西兰, 英语 / 辛达林语 / 古代英语,2003-04-25(中国大陆),179分钟,9.1,512361,"['魔幻', '史诗', '经典', '美国', '战争', '大片', '新西兰', '2002']"
史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯 / 马丁·辛 / 艾米·亚当斯 / 詹妮弗·加纳 / 伊丽莎白·班克斯 / 纳塔莉·贝伊 / 詹姆斯·布洛林 / 艾伦·旁派 / 南希·利内翰 / 布莱恩·豪威  / 弗兰克·约翰·休斯 / 克里斯·埃里斯,"['剧情', '传记', '犯罪']", 美国 / 加拿大, 英语 / 法语,2003-04-11(中国大陆),141 分钟,9.0,610030,"['犯罪', '莱昂纳多·迪卡普里奥', '美国', '剧情', '斯皮尔伯格', '汤姆·汉克斯', 'LeonardoDiCaprio', '经典']"
弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 / 乌尔里希·图库尔 / 托马斯·蒂梅 / 汉斯-尤韦·鲍尔 / 沃克马·克莱纳特 / 马提亚斯·布伦纳 / 查理·哈纳 / 赫伯特·克瑙普 / 巴斯蒂安·特罗斯特 / 玛丽·格鲁伯 / 维尔纳·德恩 / 马丁·布拉姆马赫 / 托马斯·阿诺德 / 辛纳克·勋纳曼 / 路德韦格·布洛克伯格 / 迈克尔·格伯 / 吉塔·施维赫夫 / 希尔德加德·斯罗德 / 伊嘉·比肯费尔德 / 凯·伊沃·保利兹 / 克劳斯·芒斯特,"['剧情', '悬疑']", 德国, 德语,2006-03-23(德国),137分钟,9.1,423200,"['人性', '德国', '剧情', '德国电影', '东德', '窃听', '社会主义', '政治']"
彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J·R·R·托尔金,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩 / 奥兰多·布鲁姆 / 维果·莫腾森 / 多米尼克·莫纳汉 / 比利·博伊德 / 克里斯托弗·李 / 马尔顿·索克斯 / 梅根·爱德华兹 / 伊安·霍姆 / Michael Elsworth / 凯特·布兰切特 / 阿兰·霍华德 / 马克·弗格森 / 肖恩·宾 / 萨拉·贝克 / Noel Appleby / 劳伦斯·马克奥雷 / 安迪·瑟金斯 / 彼得·麦肯齐 / Sarah McLeod / 伊恩·穆内 / 克雷格·帕克 / 卡梅隆·罗德 / 约翰·瑞斯-戴维斯 / Martyn Sanderson / Harry Sinclair / 丽芙·泰勒 / 大卫·韦瑟莱 / 雨果·维文 / 菲利普·格里夫 / 威廉·约翰逊 / 伊丽莎白·穆迪 / 布莱恩·瑟金特 / 吉诺·阿赛维多 / Jarl Benzon / Jørn Benzon / Ben Britton / 杰德·布罗菲 / 诺曼·凯茨 / 兰德尔·威廉·库克 / 萨比恩·克洛森 / 西奥沙福瓦 / 本·弗兰舍姆 / Jonathan Harding / Taea Hartwell / 彼得·杰克逊 / Sam Kelly / 艾伦·李,"['剧情', '动作', '奇幻', '冒险']", 新西兰 / 美国, 英语 / 辛达林语,2002-04-04(中国大陆),178分钟,9.0,576524,"['魔幻', '史诗', '经典', '美国', '大片', '战争', '新西兰', '冒险']"
罗曼·波兰斯基,罗纳德·哈伍德,艾德里安·布洛迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯 / 米哈乌·热布罗夫斯基 / 埃德·斯托帕德 / 穆琳·利普曼 / 弗兰克·芬莱 / 茱莉亚·蕾娜 / 杰西卡·凯特·梅耶尔 / 理查德·赖丁斯,"['剧情', '音乐', '传记', '历史', '战争']", 法国 / 德国 / 英国 / 波兰, 英语 / 德语 / 俄语,2002-05-24(戛纳电影节),150分钟,9.2,388780,"['二战', '战争', '人性', '钢琴', '音乐', '波兰斯基', '德国', '法国']"
莉莉·沃卓斯基 / 拉娜·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 格洛丽亚·福斯特 / 乔·潘托里亚诺 / 马库斯·钟 / 朱利安·阿拉汗加 / 马特·多兰 / 贝琳达·麦克洛里 / 安东尼雷派克 / 罗伯特·泰勒 / 阿达·尼科德莫 / 罗温·维特 / Tamara Brown / Natalie Tjen / 比尔·扬 / Chris Scott / 纳许·埃哲顿,"['动作', '科幻']", 美国 / 澳大利亚, 英语,1999-03-31(美国),136分钟,9.0,581211,"['科幻', '动作', '美国', '经典', '黑客帝国', '哲学', '剧情', '1999']"
朗·霍华德,阿齐瓦·高斯曼 / 西尔维娅·纳萨尔,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利 / 克里斯托弗·普卢默 / 保罗·贝坦尼 / 亚当·戈德堡 / 乔什·卢卡斯 / 安东尼·拉普 / 贾森·加里-斯坦福德 / 贾德·赫希 / 奥斯汀·潘德尔顿 / 薇薇·卡登尼 / 吉莉·西蒙 / 维克多·斯坦巴赫 / 坦娅·克拉克 / 罗伊·辛尼斯 / 谢丽尔·霍华德 / 兰斯·霍华德 / 简·詹金斯 / 乔什·帕斯 / 瓦伦蒂娜·卡迪纳利 / 蒂格尔·F·伯格里 / 迈克尔·埃斯佩尔 / 艾米·瓦尔兹 / 小艾德.朱普 / 卡拉·奥奇格罗索 / 斯特里奥·萨万特 / 迈克尔·阿伯特 / 雷吉·奥斯汀 / 凯德·比特纳 / 理查·布莱恩特 / 丹·陈 / 乔纳·福尔肯 / 法布里奇奥·范特 / 斯科特·费恩斯特罗姆 / 迈克尔·菲奥里 / 塞斯·盖贝尔 / 埃文·哈特 / 杰森·霍顿 / 布莱丝·达拉斯·霍华德 / 朗·霍华德 / 多里·曼佐尔 / 罗伯特·迈尔斯 / 里德·彭尼 / 米尔斯·彼埃尔 / 肖恩·里德,"['剧情', '传记']", 美国, 英语,2001-12-13(加州首映),135分钟,9.0,560694,"['传记', '心理', '美国', '励志', '经典', '人生', '爱情', '剧情']"
李安,李安 / 王蕙玲 / 詹姆斯·夏慕斯,郎雄 / 杨贵媚 / 吴倩莲 / 王渝文 / 张艾嘉 / 归亚蕾 / 赵文瑄 / 陈昭荣 / 陈捷文 / 卢金城 / 唐语谦 / 洪其德 / 王瑞 / 杜满生 / 王玨 / 陈妤 / 左正芬 / 许敬民 / 聂卓晶 / 丁仲,"['剧情', '家庭']", 中国台湾 / 美国, 汉语普通话 / 闽南语 / 湖南话,1994-08-03(美国),124分钟,9.1,422980,"['李安', '家庭', '台湾', '伦理', '饮食男女', '台湾电影', '剧情', '亲情']"
盖·里奇,盖·里奇,杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰 / 杰森·斯坦森 / 斯蒂文·麦金托什 / 斯汀 / 维尼·琼斯,"['剧情', '喜剧', '犯罪']", 英国, 英语,1998-08-28(英国),107分钟,9.1,453498,"['黑色幽默', '英国', '喜剧', '犯罪', '黑帮', '剧情', '经典', '黑色']"
米洛斯·福尔曼,劳伦斯·奥邦 / 博·古德曼 / 肯·凯西 / 达尔·瓦瑟曼,杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德 / 路易丝·弗莱彻 / 威尔·萨姆森 / 特德·马克兰德 / 布拉德·道里夫 / 斯加特曼·克罗索斯 / 迈克尔·贝里曼 / 彼得·布罗科 / 穆瓦科·卡姆布卡 / 威廉·达尔 / 乔西普·艾利克 / 西德尼·拉斯克 / 凯·李 / 德怀特·马费尔德 / 路易莎·莫里茨 / 威廉·雷德菲尔德 / 菲利普·罗斯 / 米米·萨奇席恩 / 文森特·斯卡维利 / 米斯·斯马尔 / 德罗斯·V·史密斯,['剧情'], 美国, 英语,1975-11-19(美国),133分钟,9.1,441514,"['人性', '自由', '经典', '美国', '剧情', '心理', '1975', '黑色幽默']"
姜文,朱苏进 / 述平 / 姜文 / 郭俊立 / 危笑 / 李不空 / 马识途,姜文 / 葛优 / 周润发 / 刘嘉玲 / 陈坤 / 张默 / 姜武 / 周韵 / 廖凡 / 姚橹 / 邵兵 / 苗圃 / 冯小刚 / 胡军 / 马珂 / 白冰 / 杜奕衡 / 李静 / 胡明 / 危笑 / 杨奇雨 / 赵铭,"['剧情', '喜剧', '动作', '西部']", 中国大陆 / 中国香港, 汉语普通话 / 四川话 / 山西话,2010-12-16(中国大陆),132分钟,8.8,1193830,"['黑色幽默', '中国', '喜剧', '人性', '剧情', '搞笑', '内地', '2010']"
大卫·芬奇,艾瑞克·罗斯 / 罗宾·史威考德 / F·司各特·菲茨杰拉德,凯特·布兰切特 / 布拉德·皮特 / 朱莉娅·奥蒙德 / 芳妮·A·钱勃丝 / 伊莱亚斯·科泰斯 / 杰森·弗莱明 / 大卫·詹森 / 蒂尔达·斯文顿 / 艾丽·范宁 / 乔安娜·塞勒 / 乔什·斯图沃特 / 丹尼·文森 / 塔拉吉·P·汉森 / 马赫沙拉·阿里 / 菲奥娜·黑尔 / 唐娜·杜普兰提尔 / 兰斯·E·尼克尔斯 / 特德·曼森 / 克莱·卡伦 / 菲利斯·萨莫维尔 / 杰瑞德·哈里斯 / 麦迪逊·贝蒂 / 汤姆·埃沃雷特 / 克里斯托弗·马克斯韦尔 / 伊利亚·沃里克,"['剧情', '爱情', '奇幻']", 美国, 英语 / 俄语 / 法语,2008-12-25(美国),166分钟,8.9,730161,"['爱情', '人生', '美国', '奇幻', '剧情', '成长', '温情', '感动']"
奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯 / 阿娜·瓦格纳 / 何塞·科罗纳多 / 巴巴拉·莱涅 / 弗兰塞斯克·奥雷利亚 / 帕科·图斯 / 大卫·塞尔瓦斯 / 伊尼戈·加斯特西 / 圣·耶拉莫斯 / 马内尔·杜维索 / 布兰卡·马丁内斯 / 佩雷·布拉索 / 霍尔迪·布鲁内特 / 鲍比·冈萨雷斯 / 玛蒂娜·乌尔塔多,"['剧情', '悬疑', '惊悚', '犯罪']", 西班牙, 西班牙语,2017-09-15(中国大陆),106分钟,8.8,871674,"['悬疑', '推理', '犯罪', '西班牙', '烧脑', '人性', '剧情', '心理']"
